Donos de pet;;;
ID;Nome;CPF;Telefone
1;João Sem Braço;111.222.333-40;(19) 90000-0001
2;Zé das Couves;222.333.444-51;(19) 90000-0002
3;Cleiton Pneu Furado;333.444.555-62;(19) 90000-0003
4;Valdisnei Silva;444.555.666-73;(19) 90000-0004
5;Jurandir Batatinha;555.666.777-84;(19) 90000-0005
6;Osvaldo Wi-Fi;666.777.888-95;(19) 90000-0006
7;Raimundo do Pastel;777.888.999-06;(19) 90000-0007
8;Creiton Bolacha;888.999.000-17;(19) 90000-0008
9;Agenor Cotonete;999.000.111-28;(19) 90000-0009
10;Waldemar Pipoca;123.456.789-10;(19) 90000-0010
